         334652780 function calls (317930857 primitive calls) in 499.271 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   279856    0.596    0.000   19.808    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/connection.py:621(read_response)
4523677/4371249    3.513    0.000   19.788    0.000 {hasattr}
    21/20    0.002    0.000   19.213    0.961 /home/nidhal/workspace/coog/trytond/trytond/modules/coog_core/model.py:257(create)
   279856    2.238    0.000   19.136    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/connection.py:375(read_response)
  1685549    3.494    0.000   19.005    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:34(cache_size)
  3416014    4.637    0.000   18.637    0.000 /usr/lib/python2.7/ConfigParser.py:355(_get)
      685    0.010    0.000   17.833    0.026 <string>:1(_validate__account_move_line)
      341    0.005    0.000   17.808    0.052 <string>:1(create__account_move_line)
      341    0.026    0.000   17.803    0.052 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:1421(create)
    79524    0.209    0.000   17.703    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/client.py:1710(zincrby)
    83631    0.220    0.000   17.135    0.000 /usr/lib/python2.7/dist-packages/simplejson/decoder.py:363(decode)
5184/5183    0.048    0.000   17.052    0.003 <string>:1(read__account_move_line)
      170    0.003    0.000   16.931    0.100 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice_dunning/invoice.py:21(_get_move_line)
     1707    0.207    0.000   16.810    0.010 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:307(validate_move)
    83631    0.754    0.000   16.807    0.000 /usr/lib/python2.7/dist-packages/simplejson/decoder.py:376(raw_decode)
      338    0.003    0.000   16.230    0.048 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice_cog/invoice.py:254(_round_taxes)
   105813    0.165    0.000   16.224    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/sql/__init__.py:192(__iter__)
    80518    0.361    0.000   16.143    0.000 /home/nidhal/workspace/coog/trytond/trytond/cache_redis.py:50(get)
