         338383121 function calls (321309617 primitive calls) in 477.753 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    7.112    7.112 /home/nidhal/workspace/coog/trytond/trytond/modules/commission/commission.py:333(cancel)
  1575398    2.326    0.000    6.996    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/msgpack/fallback.py:342(_read_header)
      170    0.002    0.000    6.948    0.041 <string>:1(_validate__ir_sequence_strict)
  9554246    6.767    0.000    6.769    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:1202(_cache)
      169    0.003    0.000    6.667    0.039 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:1981(_compute_taxes)
      509    0.008    0.000    6.655    0.013 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:833(_get_tax_context)
      355    0.478    0.001    6.604    0.019 /home/nidhal/workspace/coog/trytond/trytond/model/model.py:153(fields_get)
        2    0.001    0.001    6.492    3.246 <string>:1(create__commission)
        5    0.001    0.000    6.405    1.281 /home/nidhal/workspace/coog/trytond/trytond/modules/commission/invoice.py:38(create_commissions)
    40105    0.052    0.000    6.395    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/client.py:1973(hincrbyfloat)
  6852106    6.221    0.000    6.221    0.000 /home/nidhal/workspace/coog/trytond/trytond/transaction.py:69(<genexpr>)
25037/20431    0.204    0.000    6.099    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelsql.py:1266(search_domain)
     1023    0.008    0.000    6.074    0.006 <string>:1(search__account_period)
     1023    0.027    0.000    6.066    0.006 /home/nidhal/workspace/coog/trytond/trytond/modules/account/period.py:204(search)
1717007/1702460    3.669    0.000    6.057    0.000 {sorted}
      854    0.032    0.000    5.761    0.007 /home/nidhal/workspace/coog/trytond/trytond/ir/sequence.py:350(get_id)
     1530    0.037    0.000    5.749    0.004 <string>:1(search__ir_model)
